12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2
2,1,7,3,3,9,3,6,1,4,1,7,3,9,3,3,6,1,2
2,-1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,-1,2
10,6,1,4,1,5,1,7,3,8,3,6,1,5,1,4,1,7,11
2,1,1,2,1,1,1,1,1,-1,1,1,1,1,1,2,1,1,2
2,1,7,15,1,7,3,6,1,4,1,7,3,6,1,14,6,1,2
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
14,3,3,13,1,4,1,12,3,8,3,13,1,4,1,12,3,3,15
0,0,0,2,1,2,1,2,0,0,0,2,1,2,1,2,0,0,0
12,3,3,15,1,5,1,14,6,0,7,15,1,5,1,14,3,3,13
2,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,2
2,1,7,13,1,7,3,6,1,4,1,7,3,6,1,12,6,1,2
2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2
10,6,1,5,1,4,1,7,3,16,3,6,1,4,1,5,1,7,11
2,1,1,1,-1,2,1,1,1,2,1,1,1,2,-1,1,1,1,2
2,1,7,3,3,8,3,6,1,5,1,7,3,8,3,3,6,1,2
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15
