12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,1,4,1,7,3,3,13,4,1,4,12,3,3,6,1,4,1,2
2,1,2,-1,1,1,1,2,2,1,2,2,1,1,1,-1,2,1,2
2,1,14,3,3,6,1,14,15,1,14,15,1,7,3,3,15,1,2
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,1,12,3,3,6,1,12,13,1,12,13,1,7,3,3,13,1,2
2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2
2,1,5,1,7,3,3,15,5,1,5,14,3,3,6,1,5,1,2
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2
2,1,4,1,12,3,3,13,4,1,4,12,3,3,13,1,4,1,2
2,1,2,1,2,-1,0,2,2,1,2,2,0,-1,2,1,2,1,2
2,1,5,1,2,0,0,14,15,1,14,15,0,0,2,1,5,1,2
2,1,1,1,2,0,0,0,0,1,0,0,0,0,2,1,1,1,2
2,1,4,1,14,3,3,3,13,1,12,3,3,3,15,1,4,1,2
2,1,2,1,1,1,1,-1,2,1,2,-1,1,1,1,1,2,1,2
2,1,14,3,6,1,7,3,15,1,14,3,6,1,7,3,15,1,2
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15
